"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Eltville am Rhein","Hessen","Eltville am Rhein, Hessen","(HE)",5.4,18.4,10.7859583333333,0,0
"Bad Muskau","Sachsen","Bad Muskau, Sachsen","(SN)",8.6,17.8,9.86831944444444,1,0
"Boppard","Rheinland-Pfalz","Boppard, Rheinland-Pfalz","(RP)",5.8,14.1,3.144625,0,3
"Bad Tölz","Bayern","Bad Tölz, Bayern","(BY)",8.6,17.2,10.8358861111111,1,0
"Xanten","Nordrhein-Westfalen","Xanten, Nordrhein-Westfalen","(NW)",4.8,7.6,0,0,6.4
"Dahme","Schleswig-Holstein","Dahme, Schleswig-Holstein","(SH)",7.6,11.2,6.88429722222222,1,0
"Ruhpolding","Bayern","Ruhpolding, Bayern","(BY)",8.8,18,10.7270611111111,1,0
"Stade","Niedersachsen","Stade, Niedersachsen","(NI)",7.4,16.9,5.43609444444444,1,0
"Dangast","Niedersachsen","Dangast, Niedersachsen","(NI)",7.4,15,4.56143055555556,0,0.3
"Oberhausen","Nordrhein-Westfalen","Oberhausen, Nordrhein-Westfalen","(NW)",4.6,7.7,0,0,3.8
"Gießen","Hessen","Gießen, Hessen","(HE)",8,19.3,10.8367777777778,1,0
"Siegen","Nordrhein-Westfalen","Siegen, Nordrhein-Westfalen","(NW)",5.4,18.3,10.7613694444444,0,0
"Hüde (Dümmer)","Niedersachsen","Hüde (Dümmer), Niedersachsen","(NI)",8,18.8,8.79695833333333,1,0
"Tübingen","Baden-Württemberg","Tübingen, Baden-Württemberg","(BW)",8.4,19.2,10.6036888888889,1,0
"Schneverdingen (Lüneburger Heide)","Niedersachsen","Schneverdingen (Lüneburger Heide), Niedersachsen","(NI)",7.8,17.9,6.98845277777778,1,0
"Landshut","Bayern","Landshut, Bayern","(BY)",8.6,16.4,10.5047055555556,1,0
"Beilngries (Altmühltal)","Bayern","Beilngries (Altmühltal), Bayern","(BY)",8.6,16.3,10.7839333333333,1,0
"Oberwiesenthal","Sachsen","Oberwiesenthal, Sachsen","(SN)",8.2,10.1,10.3714861111111,1,0
"Baltrum","Niedersachsen","Baltrum, Niedersachsen","(NI)",6.8,9.8,8.94413611111111,0,2.4
"Langeoog","Niedersachsen","Langeoog, Niedersachsen","(NI)",6.8,9.8,8.94413611111111,0,2.4
"Spiekeroog","Niedersachsen","Spiekeroog, Niedersachsen","(NI)",7,12.2,4.50682222222222,0,0.9
"Amrum","Schleswig-Holstein","Amrum, Schleswig-Holstein","(SH)",5.6,6.9,0.719686111111111,0,1.2
"Pellworm","Schleswig-Holstein","Pellworm, Schleswig-Holstein","(SH)",6.6,9.2,2.55651666666667,0,0.9
"Tangermünde","Sachsen-Anhalt","Tangermünde, Sachsen-Anhalt","(ST)",8.8,20,10.0283388888889,1,0
"Kaiserslautern","Rheinland-Pfalz","Kaiserslautern, Rheinland-Pfalz","(RP)",6.1,17.8,10.7971638888889,0,0
"Neustadt an der Weinstraße","Rheinland-Pfalz","Neustadt an der Weinstraße, Rheinland-Pfalz","(RP)",8,18,10.8704638888889,1,0
"Meppen","Niedersachsen","Meppen, Niedersachsen","(NI)",6,8.8,7.89300833333333,0,3.8
"Wittenberge","Brandenburg","Wittenberge, Brandenburg","(BB)",8.4,19.5,9.87894722222222,1,0
"Frankfurt (Oder)","Brandenburg","Frankfurt (Oder), Brandenburg","(BB)",8.8,18.6,9.70890277777778,1,0
"Daun (Eifel)","Rheinland-Pfalz","Daun (Eifel), Rheinland-Pfalz","(RP)",1.3,7.3,0,0,4.2
"Fehmarn","Schleswig-Holstein","Fehmarn, Schleswig-Holstein","(SH)",7.4,8.9,7.13478333333333,1,0
"Hooksiel","Niedersachsen","Hooksiel, Niedersachsen","(NI)",7.2,14.4,4.62888055555556,0,0.6
"Tossens","Niedersachsen","Tossens, Niedersachsen","(NI)",7.4,15,4.5499,0,0.3
"Dorum-Neufeld","Niedersachsen","Dorum-Neufeld, Niedersachsen","(NI)",7.2,9.7,4.214375,0,0.3
"Nordstrand","Schleswig-Holstein","Nordstrand, Schleswig-Holstein","(SH)",6.2,8.7,1.96338333333333,0,0.6
"Glowe","Mecklenburg-Vorpommern","Glowe, Mecklenburg-Vorpommern","(MV)",7.6,9.8,7.39622222222222,1,0
"Baabe","Mecklenburg-Vorpommern","Baabe, Mecklenburg-Vorpommern","(MV)",7.8,7.9,9.04647777777778,1,0
"Thiessow","Mecklenburg-Vorpommern","Thiessow, Mecklenburg-Vorpommern","(MV)",8.2,14.7,8.72878333333333,1,0
"Lubmin","Mecklenburg-Vorpommern","Lubmin, Mecklenburg-Vorpommern","(MV)",8,9.8,8.86221388888889,1,0
"Reit im Winkl","Bayern","Reit im Winkl, Bayern","(BY)",8.6,17,10.5916222222222,1,0
"Oberammergau","Bayern","Oberammergau, Bayern","(BY)",8.4,13.4,10.8367638888889,1,0
"Bad Wiessee","Bayern","Bad Wiessee, Bayern","(BY)",8.6,17.8,10.7726055555556,1,0
"Lenggries","Bayern","Lenggries, Bayern","(BY)",8.6,17,10.820875,1,0
"Dinkelsbühl","Bayern","Dinkelsbühl, Bayern","(BY)",8.4,17.4,10.736475,1,0
"Schwäbisch Hall","Baden-Württemberg","Schwäbisch Hall, Baden-Württemberg","(BW)",8.4,19.4,10.6955777777778,1,0
"Plön","Schleswig-Holstein","Plön, Schleswig-Holstein","(SH)",7.8,15.4,6.77446944444444,1,0
"Malchow","Mecklenburg-Vorpommern","Malchow, Mecklenburg-Vorpommern","(MV)",8,17.9,7.95229722222222,1,0
"Mirow","Mecklenburg-Vorpommern","Mirow, Mecklenburg-Vorpommern","(MV)",8.4,18.2,8.72562777777778,1,0
"Neustrelitz","Mecklenburg-Vorpommern","Neustrelitz, Mecklenburg-Vorpommern","(MV)",8.4,18,9.48881111111111,1,0
"Neubrandenburg","Mecklenburg-Vorpommern","Neubrandenburg, Mecklenburg-Vorpommern","(MV)",8.4,18.3,9.31501666666667,1,0
"Bad Mergentheim","Baden-Württemberg","Bad Mergentheim, Baden-Württemberg","(BW)",8.2,19.1,10.6989472222222,1,0
"Bad Wimpfen","Baden-Württemberg","Bad Wimpfen, Baden-Württemberg","(BW)",8.2,19.4,10.6103055555556,1,0
"Saalfeld","Thüringen","Saalfeld, Thüringen","(TH)",8.6,19.9,10.7905722222222,1,0
"Wandlitz","Brandenburg","Wandlitz, Brandenburg","(BB)",8.6,18.1,9.92498611111111,1,0
"Ramsau","Bayern","Ramsau, Bayern","(BY)",8.4,15.4,10.7081888888889,1,0
"Born a. Darß","Mecklenburg-Vorpommern","Born a. Darß, Mecklenburg-Vorpommern","(MV)",7.6,11.4,6.56139444444444,1,0
"Putgarten","Mecklenburg-Vorpommern","Putgarten, Mecklenburg-Vorpommern","(MV)",7.6,9.7,7.39622222222222,1,0
