"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Ericeira","Portugal :pt:",8.06,15.68,8.40212055555556,4,1.4
"Lissabon","Portugal :pt:",8.68,16.5,8.18977888888889,4,1.4
"Chania","Griechenland :gr:",9.36,21.7,8.10488833333333,5,0
"Tromsø","Norwegen :no:",3.26,-3.06,0.00792222222222222,1,14.6
"Bodrum","Türkei :tr:",9.16,22.4,7.04720222222222,4,0.3
"Cádiz","Spanien :es:",8.16,17.36,8.88372666666667,4,13.5
"Tarifa","Spanien :es:",7.08,17.6,8.49211666666667,4,15.7
"Faro","Portugal :pt:",9,18.44,9.13907222222222,4,0.1
"Heraklion","Griechenland :gr:",9.56,23.78,8.954735,5,0
"Lagos","Portugal :pt:",9.08,18.06,9.02912722222222,5,0
"Rhodos","Griechenland :gr:",9.16,21.72,7.92885388888889,5,0
"Fethiye","Türkei :tr:",9.28,22.44,8.75779555555556,5,0
"Antalya","Türkei :tr:",9.44,22.08,8.94857277777778,5,0
"Side","Türkei :tr:",9.52,23.2,8.87869833333333,5,0
"Reykjavik","Island :is:",5.24,3.78,1.96652166666667,2,13.5
"Kappadokien","Türkei :tr:",8.88,15.42,8.96857277777778,5,0
"Paphos","Zypern :cy:",9.56,24.24,9.15601277777778,5,0
"Nikosia","Zypern :cy:",9.56,24.08,9.05624666666667,5,0
"Ayia Napa","Zypern :cy:",9.6,23.68,9.12999444444444,5,0
"Jönköping","Schweden :se:",5.56,0.86,2.79490166666667,2,8.8
"Örebro","Schweden :se:",6.68,-0.06,4.57527277777778,4,0.4
"Mora","Schweden :se:",6,-1.42,3.36427444444444,3,0.6
