"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Titisee-Neustadt","Baden-Württemberg","Titisee-Neustadt, Baden-Württemberg","(BW)",3.4,2.7,6.98341111111111,0,1
"Bernkastel-Kues","Rheinland-Pfalz","Bernkastel-Kues, Rheinland-Pfalz","(RP)",5,3.5,0,0,2.4
"Wilhelmshaven","Niedersachsen","Wilhelmshaven, Niedersachsen","(NI)",3.6,3.5,5.72426388888889,0,0.6
"Husum","Schleswig-Holstein","Husum, Schleswig-Holstein","(SH)",6.2,4.3,6.085,0,0
"Dortmund","Nordrhein-Westfalen","Dortmund, Nordrhein-Westfalen","(NW)",4.6,4.8,0,0,3.8
"Neuharlingersiel","Niedersachsen","Neuharlingersiel, Niedersachsen","(NI)",5,4.3,5.86016111111111,0,0.9
"Kassel","Hessen","Kassel, Hessen","(HE)",6.6,1.8,5.80776111111111,0,0.3
"Friedrichshafen","Baden-Württemberg","Friedrichshafen, Baden-Württemberg","(BW)",6,7.6,5.59733888888889,0,2
"Mainz","Rheinland-Pfalz","Mainz, Rheinland-Pfalz","(RP)",7.2,3.7,7.04185833333333,1,0
"Helgoland","Schleswig-Holstein","Helgoland, Schleswig-Holstein","(SH)",2.2,6.1,6.20238333333333,0,0.9
"Mannheim","Baden-Württemberg","Mannheim, Baden-Württemberg","(BW)",6.8,2.4,5.046975,1,0
"Überlingen","Baden-Württemberg","Überlingen, Baden-Württemberg","(BW)",6.4,6.6,7.10666111111111,0,1
"Bansin","Mecklenburg-Vorpommern","Bansin, Mecklenburg-Vorpommern","(MV)",6.4,2.6,2.81623333333333,0,0.4
"Bensersiel","Niedersachsen","Bensersiel, Niedersachsen","(NI)",5.8,6.8,6.342975,0,5.4
"Bonn","Nordrhein-Westfalen","Bonn, Nordrhein-Westfalen","(NW)",5.4,5.9,1.69836944444444,0,2.4
"Karlsruhe","Baden-Württemberg","Karlsruhe, Baden-Württemberg","(BW)",6.4,2.2,5.09533888888889,0,0.3
"Aachen","Nordrhein-Westfalen","Aachen, Nordrhein-Westfalen","(NW)",2.7,3.9,0.324458333333333,0,3
"Passau","Bayern","Passau, Bayern","(BY)",5.6,1.9,3.28965833333333,0,1.1
"Flensburg","Schleswig-Holstein","Flensburg, Schleswig-Holstein","(SH)",7,2.8,6.023925,1,0
"Wiesbaden","Hessen","Wiesbaden, Hessen","(HE)",7.2,3.1,6.64629444444444,1,0
"Quedlinburg","Sachsen-Anhalt","Quedlinburg, Sachsen-Anhalt","(ST)",7,2.6,6.29253055555556,0,0.3
"Magdeburg","Sachsen-Anhalt","Magdeburg, Sachsen-Anhalt","(ST)",5.8,2.6,0.933855555555556,0,0.3
"Bad Reichenhall","Bayern","Bad Reichenhall, Bayern","(BY)",5.4,3.5,4.56539444444444,0,3.5
"Goslar","Niedersachsen","Goslar, Niedersachsen","(NI)",5.6,0.9,2.45512222222222,0,1.4
"Prerow","Mecklenburg-Vorpommern","Prerow, Mecklenburg-Vorpommern","(MV)",6.4,2.5,5.48910555555555,0,0.8
"Baden-Baden","Baden-Württemberg","Baden-Baden, Baden-Württemberg","(BW)",5.4,1.8,4.299675,0,0.9
"Augsburg","Bayern","Augsburg, Bayern","(BY)",6.2,1.2,6.13294722222222,0,2.1
"Eckernförde","Schleswig-Holstein","Eckernförde, Schleswig-Holstein","(SH)",7,3.2,6.11509166666667,1,0
"Edersee","Hessen","Edersee, Hessen","(HE)",6.6,1.7,5.64336388888889,1,0
"Rust","Baden-Württemberg","Rust, Baden-Württemberg","(BW)",6.6,3.5,6.66349722222222,0,0.2
"Willingen","Hessen","Willingen, Hessen","(HE)",3,-0.9,1.3036,0,0.9
"Emden","Niedersachsen","Emden, Niedersachsen","(NI)",6,6.9,6.48133888888889,0,3.3
"Göttingen","Niedersachsen","Göttingen, Niedersachsen","(NI)",5.8,1.6,1.98565,0,0.6
"Plau am See","Mecklenburg-Vorpommern","Plau am See, Mecklenburg-Vorpommern","(MV)",6,1.4,1.54901944444444,0,0.3
