"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Dahme","Schleswig-Holstein","Dahme, Schleswig-Holstein","(SH)",6.025,2.9625,7.02126319444444,3,10.54
"Ruhpolding","Bayern","Ruhpolding, Bayern","(BY)",3.35,5.5875,3.77534791666667,1,50.58
"Stade","Niedersachsen","Stade, Niedersachsen","(NI)",5.1,4.35,5.56327743055556,4,13.6
"Dangast","Niedersachsen","Dangast, Niedersachsen","(NI)",5.9375,5.325,5.63336493055556,4,13.4
"Oberhausen","Nordrhein-Westfalen","Oberhausen, Nordrhein-Westfalen","(NW)",4.6375,7.1625,2.465171875,0,21.45
"Gießen","Hessen","Gießen, Hessen","(HE)",6.0125,6.925,3.87183993055556,4,5.3
"Siegen","Nordrhein-Westfalen","Siegen, Nordrhein-Westfalen","(NW)",4.55,6.425,3.43756215277778,4,17.6
"Hüde (Dümmer)","Niedersachsen","Hüde (Dümmer), Niedersachsen","(NI)",5.65,6.6125,4.54772291666667,4,9.1
"Tübingen","Baden-Württemberg","Tübingen, Baden-Württemberg","(BW)",6.25,7.75,5.07674340277778,4,9.27
"Schneverdingen (Lüneburger Heide)","Niedersachsen","Schneverdingen (Lüneburger Heide), Niedersachsen","(NI)",4.575,4.6875,5.29574583333333,4,15.4
"Landshut","Bayern","Landshut, Bayern","(BY)",4.5125,6,4.78847048611111,3,16.25
"Beilngries (Altmühltal)","Bayern","Beilngries (Altmühltal), Bayern","(BY)",4.5625,5.5625,3.28087326388889,3,16.5
"Oberwiesenthal","Sachsen","Oberwiesenthal, Sachsen","(SN)",3.55,1.125,4.68754270833333,3,24.45
"Baltrum","Niedersachsen","Baltrum, Niedersachsen","(NI)",5.6625,4.775,3.26241180555556,4,8.3
"Langeoog","Niedersachsen","Langeoog, Niedersachsen","(NI)",5.65,4.8375,3.253675,4,8.7
"Spiekeroog","Niedersachsen","Spiekeroog, Niedersachsen","(NI)",6.1,5.2125,6.13092569444444,4,9.3
"Amrum","Schleswig-Holstein","Amrum, Schleswig-Holstein","(SH)",6.4125,3,6.28931770833333,3,11.29
"Pellworm","Schleswig-Holstein","Pellworm, Schleswig-Holstein","(SH)",6.1125,2.55,6.30590798611111,3,9.25
"Tangermünde","Sachsen-Anhalt","Tangermünde, Sachsen-Anhalt","(ST)",4.9125,5.025,4.90348472222222,4,11.65
"Kaiserslautern","Rheinland-Pfalz","Kaiserslautern, Rheinland-Pfalz","(RP)",5.6875,6.6625,4.18601666666667,3,8.6
"Neustadt an der Weinstraße","Rheinland-Pfalz","Neustadt an der Weinstraße, Rheinland-Pfalz","(RP)",6,7.65,4.80171180555556,4,12.5
"Meppen","Niedersachsen","Meppen, Niedersachsen","(NI)",5.5375,6.55,3.061296875,4,8.9
"Wittenberge","Brandenburg","Wittenberge, Brandenburg","(BB)",5.1625,4.125,5.29406493055555,4,12.46
"Frankfurt (Oder)","Brandenburg","Frankfurt (Oder), Brandenburg","(BB)",4.8875,3.8125,4.53879513888889,3,7.3
"Daun (Eifel)","Rheinland-Pfalz","Daun (Eifel), Rheinland-Pfalz","(RP)",5.375,5.55,3.211165625,1,13.8
"Fehmarn","Schleswig-Holstein","Fehmarn, Schleswig-Holstein","(SH)",6.325,2.425,7.37678229166667,3,9.2
"Hooksiel","Niedersachsen","Hooksiel, Niedersachsen","(NI)",6.0625,5.375,5.87636805555556,4,11.2
"Tossens","Niedersachsen","Tossens, Niedersachsen","(NI)",5.5125,4.9,5.98812916666667,4,13.4
"Dorum-Neufeld","Niedersachsen","Dorum-Neufeld, Niedersachsen","(NI)",5.25,3.325,6.03767951388889,4,13.2
"Nordstrand","Schleswig-Holstein","Nordstrand, Schleswig-Holstein","(SH)",5.9125,2.45,6.52054270833333,3,11.53
"Glowe","Mecklenburg-Vorpommern","Glowe, Mecklenburg-Vorpommern","(MV)",6.025,1.475,5.79008819444444,3,7.98
"Baabe","Mecklenburg-Vorpommern","Baabe, Mecklenburg-Vorpommern","(MV)",6.225,1.3625,5.64750902777778,6,8.2
"Thiessow","Mecklenburg-Vorpommern","Thiessow, Mecklenburg-Vorpommern","(MV)",6.225,1.5125,5.83822430555556,4,6.2
"Lubmin","Mecklenburg-Vorpommern","Lubmin, Mecklenburg-Vorpommern","(MV)",6.5,1.9625,6.24657604166667,5,6.8
"Reit im Winkl","Bayern","Reit im Winkl, Bayern","(BY)",3.5,4.65,3.80453888888889,1,50.5
"Oberammergau","Bayern","Oberammergau, Bayern","(BY)",3.5,4.5125,4.97484444444444,1,40.58
"Bad Wiessee","Bayern","Bad Wiessee, Bayern","(BY)",3.5625,5.025,4.74461215277778,1,46.67
"Lenggries","Bayern","Lenggries, Bayern","(BY)",3.7375,5.5,4.81144618055556,1,47.3
"Dinkelsbühl","Bayern","Dinkelsbühl, Bayern","(BY)",4.5875,5.425,4.43386458333333,3,15.2
"Schwäbisch Hall","Baden-Württemberg","Schwäbisch Hall, Baden-Württemberg","(BW)",4.025,6.8,4.21093680555556,3,15.2
"Plön","Schleswig-Holstein","Plön, Schleswig-Holstein","(SH)",5.5,2.9125,6.18346354166667,4,13.9
"Malchow","Mecklenburg-Vorpommern","Malchow, Mecklenburg-Vorpommern","(MV)",5.0375,3.0375,6.36016423611111,4,8.86
"Mirow","Mecklenburg-Vorpommern","Mirow, Mecklenburg-Vorpommern","(MV)",4.9125,3.225,6.26613611111111,4,8.76
"Neustrelitz","Mecklenburg-Vorpommern","Neustrelitz, Mecklenburg-Vorpommern","(MV)",5.25,3.2,6.422403125,4,6.66
"Neubrandenburg","Mecklenburg-Vorpommern","Neubrandenburg, Mecklenburg-Vorpommern","(MV)",5.5375,3.2375,6.48846284722222,5,4.5
"Bad Mergentheim","Baden-Württemberg","Bad Mergentheim, Baden-Württemberg","(BW)",5.1875,7.05,4.28839930555556,3,11.6
"Bad Wimpfen","Baden-Württemberg","Bad Wimpfen, Baden-Württemberg","(BW)",4.5,7.45,4.73028819444444,3,20.46
"Saalfeld","Thüringen","Saalfeld, Thüringen","(TH)",5.45,6.6625,3.79755694444444,3,4.45
"Wandlitz","Brandenburg","Wandlitz, Brandenburg","(BB)",4.8125,3.8125,4.66184236111111,4,9.4
"Ramsau","Bayern","Ramsau, Bayern","(BY)",3.725,5.2125,3.924871875,1,65.13
"Born a. Darß","Mecklenburg-Vorpommern","Born a. Darß, Mecklenburg-Vorpommern","(MV)",5.6,2.1125,6.94303298611111,3,8.64
"Putgarten","Mecklenburg-Vorpommern","Putgarten, Mecklenburg-Vorpommern","(MV)",6.125,1.375,5.81749375,4,7.62
