"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Thiessow","Mecklenburg-Vorpommern","Thiessow, Mecklenburg-Vorpommern","(MV)",6.24,-1.58,2.07115,5,0
"Lubmin","Mecklenburg-Vorpommern","Lubmin, Mecklenburg-Vorpommern","(MV)",6,-2.08,2.96975777777778,5,0
"Reit im Winkl","Bayern","Reit im Winkl, Bayern","(BY)",5.66,2.24,3.61090055555556,2,9.39
"Oberammergau","Bayern","Oberammergau, Bayern","(BY)",5.24,2.82,3.28455722222222,1,13.7
"Bad Wiessee","Bayern","Bad Wiessee, Bayern","(BY)",5.5,1.78,3.50143111111111,2,12.3
"Lenggries","Bayern","Lenggries, Bayern","(BY)",5.42,2.84,3.22440611111111,1,12.12
"Dinkelsbühl","Bayern","Dinkelsbühl, Bayern","(BY)",5.1,0.42,0.964042222222222,3,6.37
"Schwäbisch Hall","Baden-Württemberg","Schwäbisch Hall, Baden-Württemberg","(BW)",5.08,1.64,0.922097777777778,2,6.56
"Plön","Schleswig-Holstein","Plön, Schleswig-Holstein","(SH)",6.44,-1.08,1.42983833333333,5,0
"Malchow","Mecklenburg-Vorpommern","Malchow, Mecklenburg-Vorpommern","(MV)",5.72,-2.34,1.49110888888889,5,0
"Mirow","Mecklenburg-Vorpommern","Mirow, Mecklenburg-Vorpommern","(MV)",5.56,-2.42,1.67239611111111,5,0
"Neustrelitz","Mecklenburg-Vorpommern","Neustrelitz, Mecklenburg-Vorpommern","(MV)",5.8,-2.52,1.60227777777778,5,0
"Neubrandenburg","Mecklenburg-Vorpommern","Neubrandenburg, Mecklenburg-Vorpommern","(MV)",5.92,-2.52,2.25975277777778,5,0
"Bad Mergentheim","Baden-Württemberg","Bad Mergentheim, Baden-Württemberg","(BW)",5.36,1.66,2.16245666666667,2,7.35
"Bad Wimpfen","Baden-Württemberg","Bad Wimpfen, Baden-Württemberg","(BW)",5.04,2.84,1.76654666666667,1,9.8
"Saalfeld","Thüringen","Saalfeld, Thüringen","(TH)",6.04,0.54,0.614802222222222,4,3.53
"Wandlitz","Brandenburg","Wandlitz, Brandenburg","(BB)",5.8,-2.58,2.79162222222222,5,0
"Ramsau","Bayern","Ramsau, Bayern","(BY)",6.4,3.8,4.18246055555556,2,5.42
"Born a. Darß","Mecklenburg-Vorpommern","Born a. Darß, Mecklenburg-Vorpommern","(MV)",6.56,-0.98,2.10241166666667,5,0
"Putgarten","Mecklenburg-Vorpommern","Putgarten, Mecklenburg-Vorpommern","(MV)",6.24,-0.64,1.34389222222222,4,0.4
