"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hallstatt","Österreich",47.5621698,13.6486697,"Hallstatt, Österreich",7.1,6.58,4.15124416666667,5,3.8
"Luzern","Schweiz",47.0505452,8.3054682,"Luzern, Schweiz",6.6,4.86,2.07958694444444,8,5.8
"De Haan","Belgien",51.2671194,3.0408427,"De Haan, Belgien",6.14,9.03,1.90813861111111,2,19.8
"Ostende","Belgien",51.2258565,2.919496,"Ostende, Belgien",6.16,9.11,1.87018916666667,2,14.4
"Kopenhagen","Dänemark",55.6867243,12.5700724,"Kopenhagen, Dänemark",6.35,6.14,1.06249305555556,6,7.4
"Malmö","Schweden",55.6052931,13.0001566,"Malmö, Schweden",6.46,6.27,0.675017222222222,7,6.9
"Brünn","Tschechien",49.1944262292563,16.6077238664507,"Brünn, Tschechien",6.58,5.86,1.42499861111111,5,10.7
"Meran","Italien",46.6695547,11.1594185,"Meran, Italien",7.78,8.6,6.19001888888889,9,0.3
"Bern","Schweiz",46.9484742,7.4521749,"Bern, Schweiz",6.84,5.51,3.82647194444444,8,8.6
"Bornholm","Dänemark",55.1431224,14.9226297,"Bornholm, Dänemark",6.74,5.13,1.16514638888889,7,1.1
"Aarhus","Dänemark",56.1496278,10.2134046,"Aarhus, Dänemark",6.3,6.61,0.882020277777778,4,6.15
"St. Moritz","Schweiz",46.4978958,9.8392428,"St. Moritz, Schweiz",7.08,0.66,7.17663222222222,10,0
"Hvide Sande","Dänemark",56.0057884,8.1288435,"Hvide Sande, Dänemark",5.8,7.38,1.24582166666667,3,13.38
"Interlaken","Schweiz",46.6855231,7.8585139,"Interlaken, Schweiz",7.22,6.24,5.57914305555556,8,4.3
"Bozen","Italien",46.4984781,11.3547399,"Bozen, Italien",7.64,8.32,5.32778361111111,9,0.3
"Wien","Österreich",48.2083537,16.3725042,"Wien, Österreich",6.94,6.43,2.56642972222222,7,7.1
"Dijon","Frankreich",47.3306482417266,5.04637916570386,"Dijon, Frankreich",6.11,6.92,2.10607694444444,6,5.2
"Ostrava","Tschechien",49.8357051466446,18.2847749462072,"Ostrava, Tschechien",6.6,3.94,1.65391083333333,5,2.7
"Klagenfurt am Wörthersee","Österreich",46.623943,14.3075976,"Klagenfurt am Wörthersee, Österreich",6.8,4.82,3.37355333333333,7,4.6
"Riva del Garda","Italien",45.8847708,10.8396942,"Riva del Garda, Italien",7.39,10.95,5.30249444444444,7,0.8
"Graz","Österreich",47.0708678,15.4382786,"Graz, Österreich",6.66,5.77,3.34441861111111,5,12.5
"Le Touquet-Paris-Plage","Frankreich",50.519693648444,1.5869973052921,"Le Touquet-Paris-Plage, Frankreich",6.46,10.26,3.42275111111111,4,9.6
"Bratislava","Slowakei",48.1516988,17.1093063,"Bratislava, Slowakei",6.8,6.59,2.25161805555556,5,8.36
"Zermatt","Schweiz",46.0212076,7.749254,"Zermatt, Schweiz",7.3,3.26,7.01471027777778,9,0
"Bled","Slowenien",46.3684202,14.1100595,"Bled, Slowenien",6.02,5.64,3.12769888888889,5,8.56
"Paris","Frankreich",48.8534951,2.3483915,"Paris, Frankreich",7.1,9.44,3.78848444444444,7,2.5
"Norwich","England",52.6303076934772,1.29532126502049,"Norwich, England",6.5,9.39,3.31002833333333,6,13.43
"Ipswich","England",52.0570559966874,1.15209854040659,"Ipswich, England",6.46,9.72,3.30806555555556,5,11.84
"Katowice","Polen",50.264663446807,19.0188489472198,"Katowice, Polen",7.16,3.97,3.68678638888889,7,2.8
"Torri del Benaco","Italien",45.6094493,10.6873869,"Torri del Benaco, Italien",7.17,11.84,4.80931333333333,7,3.8
"Genf","Schweiz",46.2017559,6.1466014,"Genf, Schweiz",6.5,7.19,3.11129722222222,8,5
"Sirmione","Italien",45.465106341539,10.6074284600272,"Sirmione, Italien",6.99,10.23,4.20485333333333,7,5.39
"Mailand","Italien",45.4641943,9.1896346,"Mailand, Italien",7.08,9.24,4.60662888888889,5,3
"Danzig","Polen",54.3706858,18.6129831,"Danzig, Polen",6.8,4.19,1.87630388888889,8,5
"Maribor","Slowenien",46.5536194239738,15.6470952284808,"Maribor, Slowenien",6.54,5.7,3.18518666666667,4,9.35
"Ljubljana","Slowenien",46.0500268,14.5069289,"Ljubljana, Slowenien",5.89,5.81,2.55935888888889,4,13.46
"Annecy","Frankreich",45.8992348,6.1288847,"Annecy, Frankreich",6.71,7.76,3.89060972222222,9,5.6
"Venedig","Italien",45.4371908,12.3345898,"Venedig, Italien",6.76,10.64,4.64432777777778,7,11.44
"Triest","Italien",45.651996855795,13.7625166166528,"Triest, Italien",6.37,12.08,4.65202777777778,6,6.45
"Cambridge","England",52.2039079652867,0.123678265263848,"Cambridge, England",6.43,9.92,3.12101444444444,5,9.5
"Krakau","Polen",50.0619474,19.9368564,"Krakau, Polen",6.9,2.41,2.40821555555556,8,4.2
"Skagen","Dänemark",57.7259703,10.5844602,"Skagen, Dänemark",5.41,7.53,0.842487777777778,0,19.5
"London","England",51.4893335,-0.1440551,"London, England",6.32,10.65,2.88987,5,16.62
"Göteborg","Schweden",57.7072326,11.9670171,"Göteborg, Schweden",5.5,6.31,1.19063888888889,2,19.65
"Brighton","England",50.8214626,-0.1400561,"Brighton, England",5.47,11.18,2.60257333333333,3,35.62
"Zakopane","Polen",49.2969114,19.9504753,"Zakopane, Polen",7.18,4.23,4.25802972222222,7,2.2
"Lyon","Frankreich",45.7578137,4.8320114,"Lyon, Frankreich",5.9,8.51,3.42956027777778,5,12.6
"Bourges","Frankreich",47.0816637770149,2.3971472645533,"Bourges, Frankreich",6.9,9.38,4.16955333333333,5,4.8
"Rovinj","Kroatien",45.0807411,13.6417282,"Rovinj, Kroatien",6.52,12.7,4.88503055555556,6,17.53
"Balaton","Ungarn",46.8839313,17.8476796,"Balaton, Ungarn",6.84,6.86,2.65729138888889,7,4.4
"Zagreb","Kroatien",45.8130967,15.9772795,"Zagreb, Kroatien",6.62,7.42,2.3576325,5,5.96
"Deauville","Frankreich",49.3575767556172,0.0714877491844544,"Deauville, Frankreich",6.82,10.68,4.06803583333333,4,7.67
"Warschau","Polen",52.2319581,21.0067249,"Warschau, Polen",7,4.51,1.90017472222222,9,2.4
"Hohe Tatra (Tatranská Lomnica)","Slowakei",49.13815,20.21931,"Hohe Tatra (Tatranská Lomnica), Slowakei",7.12,2.62,4.29203027777778,7,3
"Pula","Kroatien",44.8702281,13.8455311,"Pula, Kroatien",7.26,12.53,5.30890833333333,6,6.85
"Budapest","Ungarn",47.4970637896166,19.0389974414942,"Budapest, Ungarn",6.7,6.58,1.53941916666667,6,8.2
