"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Kappeln","Schleswig-Holstein","Kappeln, Schleswig-Holstein",54.6641769,9.9317595,5.98,0.42,3.26948611111111,5,9.4
"Norden","Niedersachsen","Norden, Niedersachsen",53.5942039,7.2067435,5.56,-0.87,1.78511166666667,6,2
"Rüdesheim am Rhein","Hessen","Rüdesheim am Rhein, Hessen",49.9789358,7.92339,6.66,4.66,3.50089944444444,6,6.6
"Dießen am Ammersee","Bayern","Dießen am Ammersee, Bayern",47.9477942,11.1049697,7.16,4.72,5.55430138888889,8,5.5
"Halle an der Saale","Sachsen-Anhalt","Halle an der Saale, Sachsen-Anhalt",51.4839373027827,11.9689004021725,6.82,1.61,4.69746555555556,9,0.7
"Schluchsee","Baden-Württemberg","Schluchsee, Baden-Württemberg",47.8185928,8.177035,6.28,3.76,6.19528166666667,5,11.7
"Darmstadt","Hessen","Darmstadt, Hessen",49.872445054744,8.65136715754642,6.86,5.21,3.84294555555556,6,2.3
"Saarbrücken","Saarland","Saarbrücken, Saarland",49.234362,6.996379,6.13,6.72,4.48943944444444,5,9.5
"Rosenheim","Bayern","Rosenheim, Bayern",47.8546503027382,12.1237254893551,6.96,5.02,4.80356777777778,6,9.4
"Celle","Niedersachsen","Celle, Niedersachsen",52.624056,10.081052,6.4,0.51,3.48473694444444,7,3.2
"Speyer","Rheinland-Pfalz","Speyer, Rheinland-Pfalz",49.3165553,8.433615,6.92,5.72,3.79453277777778,7,2.8
"Traben-Trarbach","Rheinland-Pfalz","Traben-Trarbach, Rheinland-Pfalz",49.9530436,7.1233159,5.92,6.47,1.58397361111111,5,16.16
"Horumersiel","Niedersachsen","Horumersiel, Niedersachsen",53.6858685,8.0098049,6,0.86,3.67278805555556,5,5.6
"Bad Kissingen","Bayern","Bad Kissingen, Bayern",50.1999412,10.0767379,6.98,3.44,3.67798138888889,9,1.1
"Bodenmais","Bayern","Bodenmais, Bayern",49.0668258,13.0996367,7.18,3.55,5.36196583333333,6,1.3
"Braunlage","Niedersachsen","Braunlage, Niedersachsen",51.7264388,10.6100516,6.42,0.75,3.47450111111111,5,5
"Herrsching am Ammersee","Bayern","Herrsching am Ammersee, Bayern",47.9992929,11.1748083,7.14,4.61,5.61022472222222,8,5.5
"Kempten (Allgäu)","Bayern","Kempten (Allgäu), Bayern",47.7283301033609,10.3134956128828,7.18,4.72,6.37167305555556,7,6.4
"Wyk auf Föhr","Schleswig-Holstein","Wyk auf Föhr, Schleswig-Holstein",54.6892888,8.5561518,5.96,0.37,3.72733583333333,7,11.2
"Wuppertal","Nordrhein-Westfalen","Wuppertal, Nordrhein-Westfalen",51.264018,7.1780374,5.65,4.16,1.95061611111111,3,15.83
"Leiwen","Rheinland-Pfalz","Leiwen, Rheinland-Pfalz",49.8219222,6.8813375,5.75,6.75,1.68082972222222,4,15.08
"Bayreuth","Bayern","Bayreuth, Bayern",49.9427202,11.5763079,7.02,3.06,4.2080675,6,1.7
"Rheinsberg","Brandenburg","Rheinsberg, Brandenburg",53.0983176,12.8910116,6.02,-1.21,3.47861277777778,8,3.8
"Ingolstadt","Bayern","Ingolstadt, Bayern",48.7630165,11.4250395,7.3,3.52,4.92841472222222,9,0.1
"Niendorf","Schleswig-Holstein","Niendorf, Schleswig-Holstein",53.9901689283528,10.8291281134518,5.96,-0.62,3.47045583333333,7,5.8
"Paderborn","Nordrhein-Westfalen","Paderborn, Nordrhein-Westfalen",51.7177044,8.752653,6.7,3.99,3.99473166666667,5,7.2
"Prien am Chiemsee","Bayern","Prien am Chiemsee, Bayern",47.8541669,12.3455493,6.94,4.27,5.15421416666667,6,12.4
"Bad Kreuznach","Rheinland-Pfalz","Bad Kreuznach, Rheinland-Pfalz",49.8490413,7.8626661,6.66,4.83,3.15993777777778,6,5.6
"Jena","Thüringen","Jena, Thüringen",50.9281717,11.5879359,7.06,3.43,4.81948638888889,6,2.6
"Zell (Mosel)","Rheinland-Pfalz","Zell (Mosel), Rheinland-Pfalz",50.0275681,7.1813233,5.96,6.28,1.68082416666667,5,15.9
"Pirna","Sachsen","Pirna, Sachsen",50.9616923,13.9386643,6.98,3.47,3.79479416666667,6,5.35
"Bochum","Nordrhein-Westfalen","Bochum, Nordrhein-Westfalen",51.4818111,7.2196635,5.67,3.64,1.53104194444444,3,13.53
"Laboe","Schleswig-Holstein","Laboe, Schleswig-Holstein",54.4022528,10.2256616,6.06,-0.0600000000000001,3.63596388888889,6,7.2
"Chemnitz","Sachsen","Chemnitz, Sachsen",50.8323531,12.918914,7.12,2.87,4.85661361111111,6,4.1
"Grainau","Bayern","Grainau, Bayern",47.4753212,11.0259498,7.22,6.57,5.73286,7,5.4
"Limburg an der Lahn","Hessen","Limburg an der Lahn, Hessen",50.3884045153577,8.0629087965473,6.8,4.77,3.63456583333333,6,6.1
"Leer","Niedersachsen","Leer, Niedersachsen",53.2308882349724,7.46001541088294,5.66,-1.01,2.40585222222222,8,2.5
"Bad Harzburg","Niedersachsen","Bad Harzburg, Niedersachsen",51.88286088265,10.5590793195608,6.74,2.37,4.01037527777778,6,3
"Hopfen am See","Bayern","Hopfen am See, Bayern",47.6083038,10.6773587,7.14,3.89,6.28070444444444,7,6.2
"Hohwacht (Ostsee)","Schleswig-Holstein","Hohwacht (Ostsee), Schleswig-Holstein",54.32078,10.67021,6.1,-0.11,3.80992611111111,6,8.2
"Heilbronn","Baden-Württemberg","Heilbronn, Baden-Württemberg",49.142291,9.218655,7.12,6.11,4.6501725,6,1.8
"Schwangau","Bayern","Schwangau, Bayern",47.576803,10.7373475,7.16,4.51,6.27535472222222,7,6.9
"Tegernsee","Bayern","Tegernsee, Bayern",47.7099191,11.7543337,7.08,5.03,6.3038675,6,12.7
"Wustrow","Mecklenburg-Vorpommern","Wustrow, Mecklenburg-Vorpommern",54.3485481,12.3947297,6.1,-0.42,4.0594725,6,10.4
"Hildesheim","Niedersachsen","Hildesheim, Niedersachsen",52.1527188,9.9518083,6.5,1.05,4.0745525,5,1.9
"Kurort Oybin","Sachsen","Kurort Oybin, Sachsen",50.8420861,14.74301,6.48,1.21,2.45804555555556,6,7.15
"Murnau am Staffelsee","Bayern","Murnau am Staffelsee, Bayern",47.6778816,11.2011903,7.18,4.63,5.89475388888889,6,9.1
"Senftenberg","Brandenburg","Senftenberg, Brandenburg",51.5191742,14.0046541,6.2,0.92,3.11088833333333,6,3.4
"Bad Salzuflen","Nordrhein-Westfalen","Bad Salzuflen, Nordrhein-Westfalen",52.0771518,8.7554739,6.48,3.43,3.67354027777778,5,6.3
"Hann. Münden","Niedersachsen","Hann. Münden, Niedersachsen",51.4161908,9.6550096,6.82,3.1,4.07367083333333,5,5.8
"Hagnau am Bodensee","Baden-Württemberg","Hagnau am Bodensee, Baden-Württemberg",47.6749642,9.3161678,7.32,5.96,5.99778194444444,7,6.4
"Langenargen","Baden-Württemberg","Langenargen, Baden-Württemberg",47.5994365,9.5381305,7.14,6.31,5.84242222222222,7,7.9
"Wolfsburg","Niedersachsen","Wolfsburg, Niedersachsen",52.4205588,10.7861682,6.52,0.67,3.8827325,6,1.8
"Rerik","Mecklenburg-Vorpommern","Rerik, Mecklenburg-Vorpommern",54.1067652,11.6171165,6,-0.87,3.21201583333333,5,11.3
"Hameln","Niedersachsen","Hameln, Niedersachsen",52.1039941,9.3561569,6.68,1.94,4.18441333333333,6,2.3
"Möhnesee","Nordrhein-Westfalen","Möhnesee, Nordrhein-Westfalen",51.4972173527814,8.12935256996022,6.86,4.99,4.51433444444444,6,8.9
"Schillig","Niedersachsen","Schillig, Niedersachsen",53.7033668,8.0235529,6,0.87,3.66959638888889,5,5.8
"Rathen","Sachsen","Rathen, Sachsen",50.958235,14.0824651,6.86,3.13,3.19406527777778,6,5.6
"Meißen","Sachsen","Meißen, Sachsen",51.1630871,13.4704939,6.72,2.32,4.11868722222222,8,2.6
"Rottach-Egern","Bayern","Rottach-Egern, Bayern",47.6909599,11.7707109,7.08,5.02,6.3038675,6,12.7
"Eltville am Rhein","Hessen","Eltville am Rhein, Hessen",50.0275441,8.1189741,6.72,4.83,3.38489333333333,6,5.4
"Bad Muskau","Sachsen","Bad Muskau, Sachsen",51.5470046,14.7215146,6.14,0.52,2.75637916666667,7,8.2
"Boppard","Rheinland-Pfalz","Boppard, Rheinland-Pfalz",50.2312823,7.5885884,5.96,5.51,1.05737222222222,5,12.18
"Bad Tölz","Bayern","Bad Tölz, Bayern",47.7610013,11.559607,7.12,5.33,6.09368666666667,6,11.6
"Xanten","Nordrhein-Westfalen","Xanten, Nordrhein-Westfalen",51.661519,6.4543203,5.97,3.7,1.66775722222222,6,10.18
"Dahme","Schleswig-Holstein","Dahme, Schleswig-Holstein",54.2241115621384,11.0833423613602,6.02,-0.32,3.59875222222222,5,7.9
"Ruhpolding","Bayern","Ruhpolding, Bayern",47.7620099,12.6459934,7.08,5.34,5.63211527777778,6,10.8
"Stade","Niedersachsen","Stade, Niedersachsen",53.599794,9.475438,5.98,-0.11,3.29162972222222,5,4.9
"Dangast","Niedersachsen","Dangast, Niedersachsen",53.446,8.11942,6.18,0.86,3.89467555555556,6,4.9
"Oberhausen","Nordrhein-Westfalen","Oberhausen, Nordrhein-Westfalen",51.4696137,6.8514435,5.84,4.01,1.66177027777778,4,16.55
"Gießen","Hessen","Gießen, Hessen",50.5862066,8.6742306,6.68,3.7,3.68761777777778,5,5.2
"Siegen","Nordrhein-Westfalen","Siegen, Nordrhein-Westfalen",50.872468858478,8.01724006147392,6.58,4.2,4.00078222222222,6,9.2
"Hüde (Dümmer)","Niedersachsen","Hüde (Dümmer), Niedersachsen",52.4957057182991,8.35702257955932,6.32,1.75,3.79725083333333,5,5.5
"Tübingen","Baden-Württemberg","Tübingen, Baden-Württemberg",48.521979326383,9.05314167762481,7.3,6.74,5.51386166666667,7,3.1
"Schneverdingen (Lüneburger Heide)","Niedersachsen","Schneverdingen (Lüneburger Heide), Niedersachsen",53.1176969304136,9.79886928393745,6.08,-0.36,2.92776777777778,6,4
"Landshut","Bayern","Landshut, Bayern",48.5422055020111,12.1340525008621,7.26,3.93,5.03852638888889,6,1.7
"Beilngries (Altmühltal)","Bayern","Beilngries (Altmühltal), Bayern",49.0351626271635,11.4697158093024,7.3,3.02,4.76555638888889,10,0
"Oberwiesenthal","Sachsen","Oberwiesenthal, Sachsen",50.4187418658363,12.967370358626,5.98,-1.29,3.844215,6,2
"Baltrum","Niedersachsen","Baltrum, Niedersachsen",53.7281738001376,7.37036440393553,5.52,-1.21,1.64330472222222,6,2.5
"Langeoog","Niedersachsen","Langeoog, Niedersachsen",53.7467330992247,7.48134306203962,5.48,-1.22,1.56423222222222,6,2.5
"Spiekeroog","Niedersachsen","Spiekeroog, Niedersachsen",53.7702849677092,7.69316704137735,6.1,0.95,3.81852361111111,6,5.5
"Amrum","Schleswig-Holstein","Amrum, Schleswig-Holstein",54.6578086445194,8.34173455299789,6.08,0.67,3.62404527777778,7,10.6
"Pellworm","Schleswig-Holstein","Pellworm, Schleswig-Holstein",54.5303839848622,8.65633156877291,6.12,0.28,3.62239305555556,7,7.5
"Tangermünde","Sachsen-Anhalt","Tangermünde, Sachsen-Anhalt",52.5495571740673,11.9672024763568,6.32,-0.0199999999999999,3.13011888888889,8,2.5
"Kaiserslautern","Rheinland-Pfalz","Kaiserslautern, Rheinland-Pfalz",49.4391520171103,7.74128080371198,6.39,5.42,3.63328555555556,6,5.3
"Neustadt an der Weinstraße","Rheinland-Pfalz","Neustadt an der Weinstraße, Rheinland-Pfalz",49.3527633909622,8.13483094557629,6.64,5.52,3.43728194444444,6,3.8
"Meppen","Niedersachsen","Meppen, Niedersachsen",52.6908749099231,7.29166504274259,5.6,-0.47,2.15824472222222,5,6.1
"Wittenberge","Brandenburg","Wittenberge, Brandenburg",52.9945813766268,11.7557975013472,6.08,-0.6,2.75676027777778,7,2.6
"Frankfurt (Oder)","Brandenburg","Frankfurt (Oder), Brandenburg",52.3433973213344,14.5533251747465,6.16,-0.56,3.95192583333333,8,8.05
"Daun (Eifel)","Rheinland-Pfalz","Daun (Eifel), Rheinland-Pfalz",50.1960103370026,6.83378445768663,5.1,3.33,0.791315555555556,4,23.92
"Fehmarn","Schleswig-Holstein","Fehmarn, Schleswig-Holstein",54.4372,11.1973,5.96,-0.13,3.80814805555556,5,7.5
"Hooksiel","Niedersachsen","Hooksiel, Niedersachsen",53.6277573442887,8.02759247020507,6,0.74,3.85818416666667,5,5.2
"Tossens","Niedersachsen","Tossens, Niedersachsen",53.5756207138559,8.25178008721835,6.16,0.67,3.72206138888889,4,5.5
"Dorum-Neufeld","Niedersachsen","Dorum-Neufeld, Niedersachsen",53.7370373987849,8.51644528263841,6.14,0.28,3.51126083333333,6,5.9
"Nordstrand","Schleswig-Holstein","Nordstrand, Schleswig-Holstein",54.4919,8.8467,5.9,0.23,3.06297472222222,7,8.6
"Glowe","Mecklenburg-Vorpommern","Glowe, Mecklenburg-Vorpommern",54.5677,13.4514,6.16,-0.4,3.65559611111111,7,9.2
"Baabe","Mecklenburg-Vorpommern","Baabe, Mecklenburg-Vorpommern",54.3631031374363,13.706955244393,6.04,-0.85,3.51889222222222,6,8.2
"Thiessow","Mecklenburg-Vorpommern","Thiessow, Mecklenburg-Vorpommern",54.2783849535508,13.7157015102308,5.92,-1.65,3.74507277777778,6,5.5
"Lubmin","Mecklenburg-Vorpommern","Lubmin, Mecklenburg-Vorpommern",54.1354,13.6146,6.06,-1.47,3.78990638888889,6,5.2
"Reit im Winkl","Bayern","Reit im Winkl, Bayern",47.6773489563139,12.4699061352574,7.22,5.78,6.17980694444444,6,9.9
"Oberammergau","Bayern","Oberammergau, Bayern",47.5987,11.0634,7.16,4.87,6.13737361111111,6,8.4
"Bad Wiessee","Bayern","Bad Wiessee, Bayern",47.7115,11.7254,7.1,5.04,6.30363333333333,6,12.7
