"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Mirow","Mecklenburg-Vorpommern","Mirow, Mecklenburg-Vorpommern",53.2765361365924,12.8106031893074,5.28,3.52,0.0732161111111111,1,5.5
"Neustrelitz","Mecklenburg-Vorpommern","Neustrelitz, Mecklenburg-Vorpommern",53.3605,13.0734,5.34,3.36,0,1,5
"Neubrandenburg","Mecklenburg-Vorpommern","Neubrandenburg, Mecklenburg-Vorpommern",53.5566,13.2612,5.34,3.62,0,1,4.86
"Bad Mergentheim","Baden-Württemberg","Bad Mergentheim, Baden-Württemberg",49.4925,9.7736,7.04,8.32,4.17736722222222,2,1.4
"Bad Wimpfen","Baden-Württemberg","Bad Wimpfen, Baden-Württemberg",49.2298,9.1571,6.1,6.9,3.51763888888889,1,2.7
"Saalfeld","Thüringen","Saalfeld, Thüringen",50.6481,11.3672,7.08,8.14,3.57554833333333,1,1.2
"Wandlitz","Brandenburg","Wandlitz, Brandenburg",52.7505,13.4523,5.72,3.64,0.441063888888889,1,5
"Ramsau","Bayern","Ramsau, Bayern",47.6072716372704,12.8976367115162,7.84,9.46,5.99209944444444,5,0
"Born a. Darß","Mecklenburg-Vorpommern","Born a. Darß, Mecklenburg-Vorpommern",54.3820440085908,12.5249920620039,5.04,3.82,0.643845555555556,0,6.36
"Putgarten","Mecklenburg-Vorpommern","Putgarten, Mecklenburg-Vorpommern",54.672676968303,13.4157515390357,5.24,3.8,1.21443888888889,2,5.06
