"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Oberstaufen","Bayern","Oberstaufen, Bayern",47.5538255,10.0208307,8.6,13.6,7.03232222222222,1,0
"Bad Saarow","Brandenburg","Bad Saarow, Brandenburg",52.2922975,14.0552305,4.2,11.4,0,0,2.2
"Burg (Spreewald)","Brandenburg","Burg (Spreewald), Brandenburg",51.8363445297827,14.1450314477017,4.2,11.8,0,0,2.4
"Oldenburg","Niedersachsen","Oldenburg, Niedersachsen",53.1389753,8.2146017,1.1,12,0,0,6.3
"Duisburg","Nordrhein-Westfalen","Duisburg, Nordrhein-Westfalen",51.434999,6.759562,6.8,13.4,0.494869444444444,1,0
"Sassnitz","Mecklenburg-Vorpommern","Sassnitz, Mecklenburg-Vorpommern",54.516728,13.644119,6,9.8,4.28326944444444,0,0.7
"Greifswald","Mecklenburg-Vorpommern","Greifswald, Mecklenburg-Vorpommern",54.095791,13.3815238,5.6,9.8,3.880825,0,0.8
"Heiligendamm","Mecklenburg-Vorpommern","Heiligendamm, Mecklenburg-Vorpommern",54.1423664,11.842199,3.5,11,0.282555555555556,0,2.4
"Kappeln","Schleswig-Holstein","Kappeln, Schleswig-Holstein",54.6641769,9.9317595,2.2,11.1,0,0,3.8
"Norden","Niedersachsen","Norden, Niedersachsen",53.5942039,7.2067435,1.5,12.2,0,0,2.26
"Rüdesheim am Rhein","Hessen","Rüdesheim am Rhein, Hessen",49.9789358,7.92339,7.4,12.3,2.33233055555556,1,0
"Dießen am Ammersee","Bayern","Dießen am Ammersee, Bayern",47.9477942,11.1049697,8.4,11.8,6,1,0
"Halle an der Saale","Sachsen-Anhalt","Halle an der Saale, Sachsen-Anhalt",51.4839373027827,11.9689004021725,5.6,13,0,0,1.8
"Schluchsee","Baden-Württemberg","Schluchsee, Baden-Württemberg",47.8185928,8.177035,8.4,11.4,7.12743333333333,1,0
"Darmstadt","Hessen","Darmstadt, Hessen",49.872445054744,8.65136715754642,7.2,13,0.191075,1,0
"Saarbrücken","Saarland","Saarbrücken, Saarland",49.234362,6.996379,8.2,13.3,5.50913333333333,1,0
"Rosenheim","Bayern","Rosenheim, Bayern",47.8546503027382,12.1237254893551,8.4,11.6,6.49693611111111,1,0
"Celle","Niedersachsen","Celle, Niedersachsen",52.624056,10.081052,1.3,11.8,0,0,4.1
"Speyer","Rheinland-Pfalz","Speyer, Rheinland-Pfalz",49.3165553,8.433615,8.2,13,5.65290277777778,1,0
"Traben-Trarbach","Rheinland-Pfalz","Traben-Trarbach, Rheinland-Pfalz",49.9530436,7.1233159,8,12.9,4.78374166666667,1,0
"Horumersiel","Niedersachsen","Horumersiel, Niedersachsen",53.6858685,8.0098049,1,11.5,0,0,6.3
"Bad Kissingen","Bayern","Bad Kissingen, Bayern",50.1999412,10.0767379,7.6,12.5,3.248175,1,0
"Bodenmais","Bayern","Bodenmais, Bayern",49.0668258,13.0996367,7.8,9.7,5.08047777777778,0,0.1
"Braunlage","Niedersachsen","Braunlage, Niedersachsen",51.7264388,10.6100516,3.8,9.9,0,0,2.2
"Herrsching am Ammersee","Bayern","Herrsching am Ammersee, Bayern",47.9992929,11.1748083,8.4,11.7,6.10933888888889,1,0
"Kempten (Allgäu)","Bayern","Kempten (Allgäu), Bayern",47.7283301033609,10.3134956128828,8.4,11.9,6.67202222222222,1,0
"Wyk auf Föhr","Schleswig-Holstein","Wyk auf Föhr, Schleswig-Holstein",54.6892888,8.5561518,1,9.1,0,0,8
"Wuppertal","Nordrhein-Westfalen","Wuppertal, Nordrhein-Westfalen",51.264018,7.1780374,7,13,0.964997222222222,1,0
"Leiwen","Rheinland-Pfalz","Leiwen, Rheinland-Pfalz",49.8219222,6.8813375,8.4,13.3,6.604275,1,0
"Bayreuth","Bayern","Bayreuth, Bayern",49.9427202,11.5763079,7.2,12.6,2,1,0
"Rheinsberg","Brandenburg","Rheinsberg, Brandenburg",53.0983176,12.8910116,3.3,10.4,0,0,2.2
"Ingolstadt","Bayern","Ingolstadt, Bayern",48.7630165,11.4250395,8,12,5.69113611111111,1,0
"Niendorf","Schleswig-Holstein","Niendorf, Schleswig-Holstein",53.9901689283528,10.8291281134518,2.2,11,0,0,3.8
"Paderborn","Nordrhein-Westfalen","Paderborn, Nordrhein-Westfalen",51.7177044,8.752653,4.8,14.7,0,0,0.2
"Prien am Chiemsee","Bayern","Prien am Chiemsee, Bayern",47.8541669,12.3455493,8.4,12.1,6.58908611111111,1,0
"Bad Kreuznach","Rheinland-Pfalz","Bad Kreuznach, Rheinland-Pfalz",49.8490413,7.8626661,8,13,3.69336666666667,1,0
"Jena","Thüringen","Jena, Thüringen",50.9281717,11.5879359,6.4,13.6,0,1,0
"Zell (Mosel)","Rheinland-Pfalz","Zell (Mosel), Rheinland-Pfalz",50.0275681,7.1813233,8.2,13.6,6.00284722222222,1,0
"Pirna","Sachsen","Pirna, Sachsen",50.9616923,13.9386643,6,13.8,0,0,1.6
"Bochum","Nordrhein-Westfalen","Bochum, Nordrhein-Westfalen",51.4818111,7.2196635,6.8,13.5,0.08685,1,0
"Laboe","Schleswig-Holstein","Laboe, Schleswig-Holstein",54.4022528,10.2256616,2.2,11.3,0,0,4.2
"Chemnitz","Sachsen","Chemnitz, Sachsen",50.8323531,12.918914,6,12.4,0,0,0.3
"Grainau","Bayern","Grainau, Bayern",47.4753212,11.0259498,8.4,12.6,7.304,1,0
"Limburg an der Lahn","Hessen","Limburg an der Lahn, Hessen",50.3884045153577,8.0629087965473,6.8,13.5,0.0534111111111111,1,0
"Leer","Niedersachsen","Leer, Niedersachsen",53.2308882349724,7.46001541088294,1.5,12.7,0,0,2.35
"Bad Harzburg","Niedersachsen","Bad Harzburg, Niedersachsen",51.88286088265,10.5590793195608,2.6,12.7,0,0,2.1
"Hopfen am See","Bayern","Hopfen am See, Bayern",47.6083038,10.6773587,8.4,12.7,6.84003888888889,1,0
"Hohwacht (Ostsee)","Schleswig-Holstein","Hohwacht (Ostsee), Schleswig-Holstein",54.32078,10.67021,2.9,11.2,0,0,3.9
"Heilbronn","Baden-Württemberg","Heilbronn, Baden-Württemberg",49.142291,9.218655,8.2,13.7,4.25054722222222,1,0
"Schwangau","Bayern","Schwangau, Bayern",47.576803,10.7373475,8.4,12.8,6.84003888888889,1,0
"Tegernsee","Bayern","Tegernsee, Bayern",47.7099191,11.7543337,8.4,12.7,6.84185,1,0
"Wustrow","Mecklenburg-Vorpommern","Wustrow, Mecklenburg-Vorpommern",54.3485481,12.3947297,5.4,9.4,3.22320555555556,0,1.5
"Hildesheim","Niedersachsen","Hildesheim, Niedersachsen",52.1527188,9.9518083,4.2,12.9,0,0,1.7
"Kurort Oybin","Sachsen","Kurort Oybin, Sachsen",50.8420861,14.74301,5.6,9.5,0,0,1.4
"Murnau am Staffelsee","Bayern","Murnau am Staffelsee, Bayern",47.6778816,11.2011903,8.4,12.2,6.50569722222222,1,0
"Senftenberg","Brandenburg","Senftenberg, Brandenburg",51.5191742,14.0046541,4.2,11.9,0,0,2
"Bad Salzuflen","Nordrhein-Westfalen","Bad Salzuflen, Nordrhein-Westfalen",52.0771518,8.7554739,3.5,13.4,0,0,1.1
"Hann. Münden","Niedersachsen","Hann. Münden, Niedersachsen",51.4161908,9.6550096,6,12.4,0,0,0.2
"Hagnau am Bodensee","Baden-Württemberg","Hagnau am Bodensee, Baden-Württemberg",47.6749642,9.3161678,8.4,9.2,6.82946111111111,1,0
"Langenargen","Baden-Württemberg","Langenargen, Baden-Württemberg",47.5994365,9.5381305,8.4,10,6.877,1,0
"Wolfsburg","Niedersachsen","Wolfsburg, Niedersachsen",52.4205588,10.7861682,1.5,11.9,0,0,3.2
"Rerik","Mecklenburg-Vorpommern","Rerik, Mecklenburg-Vorpommern",54.1067652,11.6171165,3.1,10.3,0,0,2.9
"Hameln","Niedersachsen","Hameln, Niedersachsen",52.1039941,9.3561569,4.4,13,0,0,1.5
"Möhnesee","Nordrhein-Westfalen","Möhnesee, Nordrhein-Westfalen",51.4972173527814,8.12935256996022,6.4,13.2,0.0525805555555556,1,0
"Schillig","Niedersachsen","Schillig, Niedersachsen",53.7033668,8.0235529,1,11.5,0,0,6.3
"Rathen","Sachsen","Rathen, Sachsen",50.958235,14.0824651,6,13.5,0,0,1.9
"Meißen","Sachsen","Meißen, Sachsen",51.1630871,13.4704939,6,13.3,0,0,1.3
"Rottach-Egern","Bayern","Rottach-Egern, Bayern",47.6909599,11.7707109,8.4,12.7,6.84185,1,0
"Eltville am Rhein","Hessen","Eltville am Rhein, Hessen",50.0275441,8.1189741,7.4,12.1,2.24971388888889,1,0
"Bad Muskau","Sachsen","Bad Muskau, Sachsen",51.5470046,14.7215146,4.4,11.6,0,0,3
"Boppard","Rheinland-Pfalz","Boppard, Rheinland-Pfalz",50.2312823,7.5885884,8,14.6,5.2541,1,0
"Bad Tölz","Bayern","Bad Tölz, Bayern",47.7610013,11.559607,8.6,13.2,6.47288611111111,1,0
"Xanten","Nordrhein-Westfalen","Xanten, Nordrhein-Westfalen",51.661519,6.4543203,6,13.8,0.630041666666667,0,0
"Dahme","Schleswig-Holstein","Dahme, Schleswig-Holstein",54.2241115621384,11.0833423613602,3.1,9.8,0,0,3.7
"Ruhpolding","Bayern","Ruhpolding, Bayern",47.7620099,12.6459934,8.6,13.1,6.65652777777778,1,0
"Stade","Niedersachsen","Stade, Niedersachsen",53.599794,9.475438,1.1,11.6,0,0,5.5
"Dangast","Niedersachsen","Dangast, Niedersachsen",53.446,8.11942,1,12,0,0,5.9
"Oberhausen","Nordrhein-Westfalen","Oberhausen, Nordrhein-Westfalen",51.4696137,6.8514435,6.8,13.4,0.615025,1,0
"Gießen","Hessen","Gießen, Hessen",50.5862066,8.6742306,6.8,11.7,0.445433333333333,1,0
"Siegen","Nordrhein-Westfalen","Siegen, Nordrhein-Westfalen",50.872468858478,8.01724006147392,6.6,12.9,0.248177777777778,1,0
"Hüde (Dümmer)","Niedersachsen","Hüde (Dümmer), Niedersachsen",52.4957057182991,8.35702257955932,2.2,12.1,0,0,3.7
"Tübingen","Baden-Württemberg","Tübingen, Baden-Württemberg",48.521979326383,9.05314167762481,8.2,12.6,5.96286111111111,1,0
"Schneverdingen (Lüneburger Heide)","Niedersachsen","Schneverdingen (Lüneburger Heide), Niedersachsen",53.1176969304136,9.79886928393745,1.1,11.2,0,0,5.2
"Landshut","Bayern","Landshut, Bayern",48.5422055020111,12.1340525008621,8.2,12.6,6.32254722222222,1,0
"Beilngries (Altmühltal)","Bayern","Beilngries (Altmühltal), Bayern",49.0351626271635,11.4697158093024,8,12.3,4.24525555555556,1,0
"Oberwiesenthal","Sachsen","Oberwiesenthal, Sachsen",50.4187418658363,12.967370358626,6.4,9.2,0.330866666666667,1,0
"Baltrum","Niedersachsen","Baltrum, Niedersachsen",53.7281738001376,7.37036440393553,1.3,10.9,0,0,4.05
"Langeoog","Niedersachsen","Langeoog, Niedersachsen",53.7467330992247,7.48134306203962,1.3,10.9,0,0,4
"Spiekeroog","Niedersachsen","Spiekeroog, Niedersachsen",53.7702849677092,7.69316704137735,1,11.5,0,0,6.3
"Amrum","Schleswig-Holstein","Amrum, Schleswig-Holstein",54.6578086445194,8.34173455299789,1,9.7,0,0,8.1
"Pellworm","Schleswig-Holstein","Pellworm, Schleswig-Holstein",54.5303839848622,8.65633156877291,1,8.7,0,0,8.7
"Tangermünde","Sachsen-Anhalt","Tangermünde, Sachsen-Anhalt",52.5495571740673,11.9672024763568,2.2,11.7,0,0,3.9
"Kaiserslautern","Rheinland-Pfalz","Kaiserslautern, Rheinland-Pfalz",49.4391520171103,7.74128080371198,8.4,14,6.27139444444444,1,0
"Neustadt an der Weinstraße","Rheinland-Pfalz","Neustadt an der Weinstraße, Rheinland-Pfalz",49.3527633909622,8.13483094557629,8.4,13.3,6,1,0
"Meppen","Niedersachsen","Meppen, Niedersachsen",52.6908749099231,7.29166504274259,1.9,13.1,0.28765,0,2.03
"Wittenberge","Brandenburg","Wittenberge, Brandenburg",52.9945813766268,11.7557975013472,2.2,11.1,0,0,3.8
"Frankfurt (Oder)","Brandenburg","Frankfurt (Oder), Brandenburg",52.3433973213344,14.5533251747465,4.8,11.4,0.268738888888889,0,1.8
"Daun (Eifel)","Rheinland-Pfalz","Daun (Eifel), Rheinland-Pfalz",50.1960103370026,6.83378445768663,7.6,10.7,3.57175555555556,1,0
"Fehmarn","Schleswig-Holstein","Fehmarn, Schleswig-Holstein",54.4372,11.1973,3.1,9.8,0,0,3.5
"Hooksiel","Niedersachsen","Hooksiel, Niedersachsen",53.6277573442887,8.02759247020507,1,11.8,0,0,5.9
"Tossens","Niedersachsen","Tossens, Niedersachsen",53.5756207138559,8.25178008721835,1,10.7,0,0,6.4
"Dorum-Neufeld","Niedersachsen","Dorum-Neufeld, Niedersachsen",53.7370373987849,8.51644528263841,1,11.4,0,0,7.2
"Nordstrand","Schleswig-Holstein","Nordstrand, Schleswig-Holstein",54.4919,8.8467,1,9.7,0,0,8.3
"Glowe","Mecklenburg-Vorpommern","Glowe, Mecklenburg-Vorpommern",54.5677,13.4514,5.8,9.6,3.72392777777778,0,0.8
"Baabe","Mecklenburg-Vorpommern","Baabe, Mecklenburg-Vorpommern",54.3631031374363,13.706955244393,6.2,9,3.55872222222222,0,0.7
"Thiessow","Mecklenburg-Vorpommern","Thiessow, Mecklenburg-Vorpommern",54.2783849535508,13.7157015102308,5.6,7.9,4.04618055555556,0,0.6
"Lubmin","Mecklenburg-Vorpommern","Lubmin, Mecklenburg-Vorpommern",54.1354,13.6146,5.8,9.9,4,0,0.7
"Reit im Winkl","Bayern","Reit im Winkl, Bayern",47.6773489563139,12.4699061352574,8.4,11.4,6.65712777777778,1,0
"Oberammergau","Bayern","Oberammergau, Bayern",47.5987,11.0634,8.4,12.7,6.79819166666667,1,0
